ID,Jurisdiction,State,District_Type,District_Number,Candidate_Name,Party,Total_Amount,Total_For,Total_Against,PAC_Name,PAC_Type,PAC_ID,ID_Type,Citation_URL
NRDC ACTION VOTES_0,Federal Office,MT,U.S. Senate,,Steven Daines,R,498892.00,0.00,498892.00,NRDC ACTION VOTES,Super PAC,C00740227,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00740227
NRDC ACTION VOTES_0,Federal Office,VA,U.S. House,7,Nick Freitas,R,47930.00,0.00,47930.00,NRDC ACTION VOTES,Super PAC,C00740228,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00740228
NRDC ACTION VOTES_0,Federal Office,FL,U.S. House,26,Carlos Gimenez,R,240000.00,0.00,240000.00,NRDC ACTION VOTES,Super PAC,C00740229,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00740229
NRDC ACTION VOTES_0,Federal Office,SC,U.S. Senate,,Lindsey Graham,R,346019.00,0.00,346019.00,NRDC ACTION VOTES,Super PAC,C00740230,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00740230
NRDC ACTION VOTES_453676,Federal Office,CO,U.S. Senate,,John Hickenlooper,D,453676.00,453676.00,0.00,NRDC ACTION VOTES,Super PAC,C00740231,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00740231
NRDC ACTION VOTES_240000,Federal Office,FL,U.S. House,26,Debbie Mucarsel-Powell,D,240000.00,240000.00,0.00,NRDC ACTION VOTES,Super PAC,C00740232,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00740232
NRDC ACTION VOTES_510314,Federal Office,MI,U.S. Senate,,Gary Peters,D,510314.00,510314.00,0.00,NRDC ACTION VOTES,Super PAC,C00740233,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00740233
NRDC ACTION VOTES_0,Federal Office,CA,U.S. House,21,David Valadao,R,249294.00,0.00,249294.00,NRDC ACTION VOTES,Super PAC,C00740234,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00740234
NEXTGEN CLIMATE ACTION COMMITTEE_10288902,Federal Office,All,President,,Joe Biden,D,10288902.00,10288902.00,0.00,NEXTGEN CLIMATE ACTION COMMITTEE,Super PAC,C00547349,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00547349
NEXTGEN CLIMATE ACTION COMMITTEE_393899,Federal Office,NC,U.S. Senate,,Cal Cunningham,D,393899.00,393899.00,0.00,NEXTGEN CLIMATE ACTION COMMITTEE,Super PAC,C00547350,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00547350
NEXTGEN CLIMATE ACTION COMMITTEE_399159,Federal Office,ME,U.S. Senate,,Sara Gideon,D,399159.00,399159.00,0.00,NEXTGEN CLIMATE ACTION COMMITTEE,Super PAC,C00547351,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00547351
NEXTGEN CLIMATE ACTION COMMITTEE_412142,Federal Office,IA,U.S. Senate,,Theresa Greenfield,D,412142.00,412142.00,0.00,NEXTGEN CLIMATE ACTION COMMITTEE,Super PAC,C00547352,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00547352
NEXTGEN CLIMATE ACTION COMMITTEE_200000,Federal Office,AK,U.S. Senate,,Al Gross,I,200000.00,200000.00,0.00,NEXTGEN CLIMATE ACTION COMMITTEE,Super PAC,C00547353,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00547353
NEXTGEN CLIMATE ACTION COMMITTEE_261017,Federal Office,AZ,U.S. Senate,,Mark Kelly,D,261017.00,261017.00,0.00,NEXTGEN CLIMATE ACTION COMMITTEE,Super PAC,C00547354,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00547354
NEXTGEN CLIMATE ACTION COMMITTEE_0,Federal Office,IA,U.S. House,4,Steven A King,R,2286.00,0.00,2286.00,NEXTGEN CLIMATE ACTION COMMITTEE,Super PAC,C00547355,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00547355
NEXTGEN CLIMATE ACTION COMMITTEE_0,Federal Office,All,President,,Donald Trump,R,548000.00,0.00,548000.00,NEXTGEN CLIMATE ACTION COMMITTEE,Super PAC,C00547356,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00547356
ACT NOW ON CLIMATE_1780481,Federal Office,All,President,,Jay Inslee,D,1780481.00,1780481.00,0.00,ACT NOW ON CLIMATE,Super PAC,C00697300,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00697300
CLIMATE HAWKS VOTE POLITICAL ACTION_0,Federal Office,NC,U.S. House,9,Dan Bishop,R,4100.00,0.00,4100.00,CLIMATE HAWKS VOTE POLITICAL ACTION,Super PAC,C00548461,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00548461
ENVIRONMENT AMERICA INC. VOTER ACTION_1000,Federal Office,All,President,,Joe Biden,D,1000.00,1000.00,0.00,ENVIRONMENT AMERICA INC. VOTER ACTION,PAC,C00442020,FEC,https://www.opensecrets.org/pacs/lookup2.php?strID=C00442020&cycle=2020
ENVIRONMENT AMERICA INC. VOTER ACTION_1000,Federal Office,OR,U.S. House,1,Suzanne Bonamici,D,1000.00,1000.00,0.00,ENVIRONMENT AMERICA INC. VOTER ACTION,PAC,C00442021,FEC,https://www.opensecrets.org/pacs/lookup2.php?strID=C00442020&cycle=2021
ENVIRONMENT AMERICA INC. VOTER ACTION_100,Federal Office,CO,U.S. House,6,Jason Crow,D,100.00,100.00,0.00,ENVIRONMENT AMERICA INC. VOTER ACTION,PAC,C00442022,FEC,https://www.opensecrets.org/pacs/lookup2.php?strID=C00442020&cycle=2022
ENVIRONMENT AMERICA INC. VOTER ACTION_782,Federal Office,KS,U.S. House,3,Sharice Davids,D,782.00,782.00,0.00,ENVIRONMENT AMERICA INC. VOTER ACTION,PAC,C00442023,FEC,https://www.opensecrets.org/pacs/lookup2.php?strID=C00442020&cycle=2023
